window,model,epoch,train_loss,validation_mean_daily_macro_auc,validation_mean_daily_extreme_auc,validation_log_loss
60,FCNN,1,0.9097397512148234,0.6157007422683382,0.5970773239445991,0.9299956840736919
60,FCNN,2,0.8682458792343613,0.605309897505082,0.5803595034922372,0.9794752482713325
60,FCNN,3,0.8315220479712342,0.5953721508466414,0.5689485827464482,1.0138754447764897
60,FCNN,4,0.7992300285288125,0.5872653136480641,0.5608197162952522,1.08120583508991
60,FCNN,5,0.7690730902774274,0.5921184944107925,0.566624735476867,1.092715534861499
60,FCNN,6,0.7414461509747938,0.5854203450483174,0.5597398168846706,1.157507576303549
60,CNN,1,0.905484002853228,0.6168950191039038,0.5943290774036929,0.9307274100812891
60,CNN,2,0.8612680320651078,0.605092213199099,0.5769951630774269,0.9695590276696714
60,CNN,3,0.8258024792779576,0.6021924838299412,0.5761931034428349,0.9873556599608412
60,CNN,4,0.7903842983084933,0.5864884529927955,0.5586325615620356,1.0491113365263562
60,CNN,5,0.756549542107858,0.5763285628076503,0.5472797304813677,1.1187217246220078
60,CNN,6,0.7251018138381732,0.5757721616641761,0.5463436351672755,1.1479505162570964
60,GRU,1,0.9083273112363395,0.6072081979892703,0.5798248816223174,0.9368015937264119
60,GRU,2,0.8675008152224144,0.6005358381372855,0.5699173243788477,0.9826370142005546
60,GRU,3,0.8357364789841917,0.5972641127649895,0.5677596412151097,1.0261743780880157
60,GRU,4,0.7966042679449743,0.5894346948813155,0.5594602207639985,1.092508438519922
60,GRU,5,0.7565697824413126,0.5804506645980642,0.5507352568932977,1.2017489308919371
60,GRU,6,0.7194760674944265,0.5772059170948458,0.5472215287405927,1.2676696981597395
60,Transformer,1,0.9053015398174606,0.6050961904934474,0.5780304789159171,0.946588280094344
60,Transformer,2,0.8470228185502623,0.5910920779801347,0.560484348451548,1.0328455418316747
60,Transformer,3,0.7897434292910185,0.5983735560388714,0.5739492811517497,1.0424308412584466
60,Transformer,4,0.7392429839152607,0.5835818464515422,0.5544541742442378,1.1652536655468302
60,Transformer,5,0.6937554651465955,0.5770852699082676,0.5482776933820709,1.2286899912118727
60,Transformer,6,0.6529918389995236,0.5683379422258114,0.5392108998187551,1.3476322320898806
60,CNN+GRU,1,0.9092178925994999,0.6180525218259834,0.5973431059899925,0.9263404966376894
60,CNN+GRU,2,0.8665215949792179,0.6091093214781887,0.5835079739495486,0.9537211114352367
60,CNN+GRU,3,0.8318373491120404,0.6008423859300533,0.5724340287441626,0.9962940226987095
60,CNN+GRU,4,0.7891167583708593,0.5962604208236795,0.5693857164997959,1.0490803076183448
60,CNN+GRU,5,0.7472780165429286,0.5912695718713439,0.5641377157433668,1.1167505863300584
60,CNN+GRU,6,0.7090577896961496,0.5860659194572073,0.558915440389612,1.1544125079809633
60,CNN+Transformer,1,0.9031543073246958,0.6043357011714375,0.578308573203121,0.9580550714425013
60,CNN+Transformer,2,0.8485908623651368,0.5926438801900529,0.5643207137964886,1.0047665232532654
60,CNN+Transformer,3,0.787650077385679,0.5785183283520396,0.5483132727316138,1.1202328863522943
60,CNN+Transformer,4,0.7297430237955298,0.5620656080098709,0.5314069702723024,1.2304148556012917
60,CNN+Transformer,5,0.6774735356740058,0.5618424910099381,0.5336420589396661,1.2908709311274804
60,CNN+Transformer,6,0.6340149785738346,0.5535931241537786,0.5264239856914495,1.4081888726156526
